n,seed,status_pli,otimo_provado,objetivo_pli,gap_percentual,tempo_pli_s,objetivo_edd,ganho_percentual_pli,n_atrasados_pli,makespan_pli
6,6,Optimal,True,780.1,0.0,1.779,791.5,1.44,5,115.6
6,7,Optimal,True,417.8,0.0,3.185,636.1,34.32,5,75.6
6,8,Optimal,True,404.9,0.0,2.87,563.8,28.18,6,100.6
8,6,Optimal,True,620.0,0.0,22.721,639.0,2.97,6,115.6
8,7,Optimal,True,287.7,0.0,42.135,387.4,25.74,7,75.6
8,8,Optimal,True,493.0,0.0,54.773,929.5,46.96,6,100.6
10,6,Not Solved,False,935.3,461.0,119.974,559.9,-67.05,8,179.6
10,7,Not Solved,False,437.3,917.0,119.964,641.8,31.86,7,135.4
10,8,Not Solved,False,1238.7,194.0,119.948,1546.4,19.9,9,137.0
20,6,Not Solved,False,4537.4,,119.238,737.0,-515.66,14,439.3
20,7,Not Solved,False,4640.2,,119.243,1129.2,-310.93,15,412.8
20,8,Not Solved,False,6730.3,,119.227,2415.4,-178.64,13,373.0
80,6,Not Solved,False,118298.5,,88.552,9479.7,-1147.91,51,2395.0
80,7,Not Solved,False,130820.4,,82.413,3752.7,-3386.03,47,2310.5
80,8,Not Solved,False,80811.6,,88.819,2023.4,-3893.85,47,2118.1
