n,seed,usar_mtz,n_variaveis,n_restricoes,status,otimo_provado,objetivo,limite_inferior,gap_percentual,tempo_s
6,6,True,126,208,Optimal,True,780.1,780.1,0.0,1.828
6,6,False,120,142,Optimal,True,780.1,780.1,0.0,23.117
6,7,True,126,208,Optimal,True,417.8,417.8,0.0,3.26
6,7,False,120,142,Optimal,True,417.8,417.8,0.0,6.5
6,8,True,126,208,Optimal,True,404.9,404.9,0.0,2.837
6,8,False,120,142,Optimal,True,404.9,404.9,0.0,5.294
8,6,True,230,398,Optimal,True,620.0,620.0,0.0,22.895
8,6,False,222,252,Optimal,True,620.0,620.0,0.0,28.333
8,7,True,230,398,Optimal,True,287.7,287.7,0.0,41.731
8,7,False,222,252,Optimal,True,287.7,287.7,0.0,29.122
8,8,True,230,398,Optimal,True,493.0,493.0,0.0,54.741
8,8,False,222,252,Optimal,True,493.0,493.0,0.0,29.313
10,6,True,366,652,Not Solved,False,935.3,166.66,461.0,119.976
10,6,False,356,394,Not Solved,False,458.8,363.59,26.0,120.051
10,7,True,366,652,Not Solved,False,437.3,43.01,917.0,119.96
10,7,False,356,394,Not Solved,False,292.4,117.68,148.0,120.048
10,8,True,366,652,Not Solved,False,1238.7,421.45,194.0,119.951
10,8,False,356,394,Not Solved,False,1276.9,457.69,179.0,120.145
20,6,True,1220,2279,Not Solved,False,4537.4,0.0,indefinido,119.227
20,6,False,1200,1269,Not Solved,False,4053.9,0.0,indefinido,120.13
20,7,True,1220,2279,Not Solved,False,4640.2,0.0,indefinido,119.153
20,7,False,1200,1269,Not Solved,False,2874.8,0.0,indefinido,120.068
20,8,True,1220,2279,Not Solved,False,6730.3,0.0,indefinido,119.294
20,8,False,1200,1269,Not Solved,False,9247.1,0.0,indefinido,120.107
80,6,True,17780,34904,Not Solved,False,118298.5,0.0,indefinido,85.393
80,6,False,17700,17964,Not Solved,False,128243.0,0.0,indefinido,86.818
80,7,True,17780,34904,Not Solved,False,130820.4,0.0,indefinido,87.604
80,7,False,17700,17964,Not Solved,False,129669.9,0.0,indefinido,87.109
80,8,True,17780,34904,Not Solved,False,80811.6,0.0,indefinido,87.414
80,8,False,17700,17964,Not Solved,False,93325.8,0.0,indefinido,87.3
